         16127163 function calls (14951606 primitive calls) in 151.286 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_init}
        4    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/serialization.py:496(_open_zipfile_writer)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_internal/onnxruntime.py:536(OrtBackendOptions)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/skipfiles.py:261(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/trace_rules.py:113(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/domains/groundtypes.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_vendor/packaging/version.py:186(__init__)
       27    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/singleton.py:165(__init__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/conventions.py:1(<module>)
       45    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_compile.py:292(_optimize_charset)
       12    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/enum.py:165(__prepare__)
    37/36    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1250(__repr__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/side_effects.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:1(<module>)
      636    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1242(__eq__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/expr.py:42(Expr)
        6    0.000    0.000    0.000    0.000 {built-in method torch.cuda._get_device_properties}
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       15    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_logging/_internal.py:456(getArtifactLogger)
       24    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/textwrap.py:473(indent)
      661    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
        3    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/library.py:79(define)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/library.py:54(__init__)
      664    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:436(_field_assign)
      310    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/pretty/pretty_symbology.py:10(U)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/symbolic_opset12.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/sets/contains.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_iv.py:324(_init_builtins)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/strategies/branch/traverse.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/smtlib.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/symbol.py:285(__new__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/external/importtools.py:48(import_module)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/kronecker.py:1(<module>)
       48    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/h5py/_hl/dataset.py:648(_extent_type)
      781    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1022(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/utilities/mathml/__init__.py:1(<module>)
      573    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_internal/registration.py:76(set_base)
     2138    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/inspect.py:2699(kind)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/strategies/rl.py:1(<module>)
      665    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_iv.py:1(<module>)
     1442    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_type_utils.py:61(JitScalarType)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/kind.py:287(_)
     1362    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       33    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/base.py:212(<listcomp>)
      434    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/inspect.py:632(_is_wrapper)
       12    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/enum.py:222(<setcomp>)
       37    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/decorators.py:202(make_wrapped)
      137    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:547(<dictcomp>)
       41    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/decorators.py:98(priority_decorator)
     1203    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/contextlib.py:735(__enter__)
       17    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:451(__init__)
     1526    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
     2055    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       17    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_iv.py:407(_mpq)
   102/78    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:185(_type_repr)
      573    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_internal/registration.py:267(onnx_symbolic)
       15    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/symbolic_opset10.py:76(_apply)
      137    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:591(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/transpose.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/series/order.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/__init__.py:1890(registerOp)
      171    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/utilities/decorator.py:175(public)
       32    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:2171(parameters)
      137    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:1014(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/funcmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/matexpr.py:36(MatrixExpr)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/lazy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/polyoptions.py:297(Wrt)
       10    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_deprecation.py:20(decorator)
  317/247    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1037(__hash__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_internal/fx/diagnostics.py:1(<module>)
      3/2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/os.py:200(makedirs)
      213    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_fp.py:51(_wrap_specfun)
     1204    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1737(cast)
    36/33    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1088(__repr__)
        1    0.000    0.000    0.000    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:60(ForagingEnv)
      799    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:395(<genexpr>)
      213    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_numpy/_funcs.py:19(is_public_function)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:529(state_dict)
        4    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/serialization.py:461(__init__)
      397    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_parse.py:112(__init__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/adjoint.py:1(<module>)
      167    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/function.py:147(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/bytecode_transformation.py:43(Instruction)
       95    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/inspect.py:1997(_signature_is_functionlike)
     1203    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/contextlib.py:738(__exit__)
      208    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/serialization.py:209(_cpu_tag)
     1133    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:659(_is_kw_only)
      208    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_utils.py:185(get_tensor_metadata)
      208    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_utils.py:834(_element_size)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/series/gruntz.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/companion.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'seed' of 'numpy.random.mtrand.RandomState' objects}
        6    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/tokenize.py:390(open)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/geometry/polygon.py:25(<listcomp>)
      234    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/utilities/iterables.py:3076(is_sequence)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/nn_module.py:1(<module>)
     2554    0.000    0.000    0.000    0.000 {method 'span' of 're.Match' objects}
     1475    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/inspect.py:2687(name)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_numpy/_ndarray.py:174(ndarray)
      108    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:253(_deduplicate)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_prims/context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/types.py:33(GuardFn)
       32    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:2196(named_parameters)
        2    0.000    0.000    0.000    0.000 /home/amax/xyc/MATr/offpymarl/src/runners/multi_task/episode_runner.py:33(get_env_info)
       22    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_mp.py:96(init_builtins)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/tensor/array/sparse_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/geometry/parabola.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/tensor/functions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/repmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/mul.py:92(Mul)
       23    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1549(__init_subclass__)
      875    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/multipledispatch/conflict.py:67(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/sets/conditionset.py:1(<module>)
      156    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/serialization.py:214(_cuda_tag)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/traceback.py:216(extract_stack)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/series/series_class.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C._get_operation_overload}
      151    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/libmp/libintmath.py:353(ifac)
     1200    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:352(_optimizer_step_code)
      573    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_parse.py:161(__len__)
       34    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1785(_save_to_state_dict)
      310    0.000    0.000    0.000    0.000 {built-in method unicodedata.lookup}
      209    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/copyreg.py:109(_slotnames)
      930    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1189    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/geometry/curve.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1323(__class_getitem__)
        4    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:2249(<dictcomp>)
      790    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/multipledispatch/utils.py:45(<genexpr>)
       14    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/textwrap.py:422(dedent)
        2    0.000    0.000    0.000    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:197(get_env_info)
      204    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/textwrap.py:485(prefixed_lines)
       28    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/enum.py:986(__and__)
      154    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/functools.py:479(lru_cache)
       32    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:2157(_named_members)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/integrals/meijerint.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/traceback.py:338(extract)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/polyquinticconst.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/fx/experimental/recording.py:71(ShapeEnvEvent)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:911(_find_spec_legacy)
       18    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/numbers.py:2253(__gt__)
      186    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/inspect.py:1867(_signature_get_user_defined_method)
        7    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/linecache.py:26(getline)
        4    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/symbol.py:344(__xnew_cached_)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/domains/realfield.py:45(__init__)
      685    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/domains/expressiondomain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/polytools.py:101(Poly)
       19    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/fx/experimental/recording.py:212(decorator)
       54    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/h5py/_hl/group.py:34(__init__)
     1256    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/domains/mpelements.py:47(__init__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/functions/combinatorial/numbers.py:331(tribonacci)
      213    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/ctx_mp_python.py:1014(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/libmp/libintmath.py:126(<listcomp>)
      685    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:746(find_spec)
       47    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/numbers.py:2243(__eq__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/calculus/optimization.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/trace.py:1(<module>)
      149    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/utilities/misc.py:501(as_int)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/_trace_wrapped_higher_order_op.py:1(<module>)
       52    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/singleton.py:106(__getattr__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/lazy.py:95(_populate)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/sets/powerset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/domains/complexfield.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/builder.py:221(VariableBuilder)
      799    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:1098(<genexpr>)
      137    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/dataclasses.py:1040(<listcomp>)
      473    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/facts.py:579(__init__)
       34    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/mpmath/libmp/libmpf.py:491(from_rational)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/base.py:137(VariableTracker)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/matrices/expressions/sets.py:1(<module>)
       26    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/parameter.py:34(__new__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/symbolic_opset17.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/utils/_sympy/reference.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/geometry/ellipse.py:37(<listcomp>)
       48    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/symbol.py:254(_sanitize)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/utils/_sympy/interp.py:1(<module>)
       31    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1350(__init_subclass__)
       26    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:551(register_parameter)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/matrices/domainmatrix.py:53(DomainMatrix)
       48    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/h5py/_hl/files.py:316(mode)
      194    0.000    0.000    0.000    0.000 /home/amax/xyc/MATr/offpymarl/src/components/transforms.py:21(infer_output_info)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/matrices/exceptions.py:1(<module>)
       80    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/core/basic.py:162(__new__)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/_internal/diagnostics/_rules.py:314(_POERules)
    36/33    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/typing.py:1093(<listcomp>)
        1    0.000    0.000    0.000    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/maple.py:1(<module>)
