         16127163 function calls (14951606 primitive calls) in 151.286 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.682    1.682 /home/amax/xyc/MATr/offpymarl/src/learners/multi_task/mt_bc_learner.py:9(__init__)
        1    0.000    0.000    1.682    1.682 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:15(__init__)
        1    0.000    0.000    1.682    1.682 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:245(__init__)
        1    0.000    0.000    1.681    1.681 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/__init__.py:1(<module>)
  979/215    0.004    0.000    1.681    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
    173/2    0.001    0.000    1.680    0.840 {built-in method builtins.__import__}
    67922    0.130    0.000    1.594    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/activation.py:100(forward)
    33961    0.105    0.000    1.574    0.000 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:118(<listcomp>)
   101883    1.515    0.000    1.515    0.000 {method 'softmax' of 'torch._C.TensorBase' objects}
    67922    0.102    0.000    1.464    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/functional.py:1462(relu)
  1225456    1.428    0.000    1.428    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/module.py:1675(__getattr__)
     1200    0.032    0.000    1.395    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:368(wrapper)
    67922    1.333    0.000    1.333    0.000 {built-in method torch.relu}
     1200    0.021    0.000    1.287    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:58(_use_grad)
     7450    0.140    0.000    1.260    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:113(<listcomp>)
     1200    0.021    0.000    1.256    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:133(step)
    75521    0.328    0.000    1.211    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
    33961    0.570    0.000    1.184    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/decomposers/lbf_decomposer.py:59(decompose_obs)
    33961    1.175    0.000    1.175    0.000 {built-in method torch.eye}
    49245    1.170    0.000    1.170    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
    88418    1.137    0.000    1.137    0.000 {built-in method torch.as_tensor}
    20180    0.327    0.000    1.133    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/lib/arraypad.py:533(pad)
     1200    0.006    0.000    1.115    0.001 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:163(sample)
     7642    0.036    0.000    1.111    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:449(<listcomp>)
     1200    0.026    0.000    1.110    0.001 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:129(sample)
     7642    0.019    0.000    1.106    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:197(_gen_valid_moves)
    35161    0.148    0.000    1.103    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2979(prod)
     7642    0.060    0.000    1.088    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:198(<dictcomp>)
    20180    0.183    0.000    1.075    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:340(_make_obs)
        1    0.000    0.000    1.011    1.011 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/convert_frame.py:1(<module>)
    20180    0.233    0.000    1.008    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:199(<listcomp>)
     1200    0.045    0.000    0.969    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:258(adam)
    88418    0.639    0.000    0.943    0.000 /home/amax/xyc/MATr/offpymarl/src/utils/embed.py:10(binary_embed)
    27519    0.913    0.000    0.913    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
   106272    0.869    0.000    0.869    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1200    0.038    0.000    0.794    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:448(_multi_tensor_adam)
     7642    0.034    0.000    0.790    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:455(<listcomp>)
   171197    0.770    0.000    0.770    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    20180    0.559    0.000    0.756    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:377(make_obs_array)
     1200    0.080    0.000    0.756    0.001 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/utils/clip_grad.py:12(clip_grad_norm_)
    37826    0.453    0.000    0.745    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/shape_base.py:372(stack)
      192    0.004    0.000    0.721    0.004 /home/amax/xyc/MATr/offpymarl/src/runners/multi_task/episode_runner.py:42(reset)
   121080    0.468    0.000    0.703    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:302(_is_valid_action)
      192    0.002    0.000    0.686    0.004 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:168(reset)
   169805    0.684    0.000    0.684    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
     7642    0.318    0.000    0.670    0.000 /home/amax/xyc/MATr/offpymarl/src/components/action_selectors.py:18(select_action)
        1    0.000    0.000    0.668    0.668 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:1(<module>)
   103083    0.659    0.000    0.659    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
    20180    0.327    0.000    0.651    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:343(<listcomp>)
      192    0.001    0.000    0.648    0.003 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/core.py:318(reset)
        1    0.000    0.000    0.645    0.645 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/utils.py:1(<module>)
      192    0.001    0.000    0.640    0.003 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/wrappers/time_limit.py:25(reset)
      192    0.001    0.000    0.639    0.003 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/wrappers/order_enforcing.py:14(reset)
      192    0.004    0.000    0.638    0.003 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:468(reset)
    20180    0.259    0.000    0.625    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/gym/spaces/box.py:140(contains)
   584787    0.622    0.000    0.622    0.000 {built-in method torch._C._get_tracing_state}
        1    0.000    0.000    0.617    0.617 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/fx/experimental/symbolic_shapes.py:1(<module>)
     1200    0.030    0.000    0.604    0.001 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:31(to)
        1    0.000    0.000    0.592    0.592 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/utils/_sympy/functions.py:1(<module>)
        1    0.000    0.000    0.586    0.586 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/__init__.py:1(<module>)
     1200    0.227    0.000    0.568    0.000 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:131(<dictcomp>)
        1    0.000    0.000    0.552    0.552 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/output_graph.py:1(<module>)
        1    0.000    0.000    0.544    0.544 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/builder.py:1(<module>)
        1    0.000    0.000    0.536    0.536 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/optimizer.py:1(<module>)
        1    0.000    0.000    0.535    0.535 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/decorators.py:1(<module>)
        1    0.000    0.000    0.535    0.535 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/decorators.py:100(inner)
        2    0.000    0.000    0.535    0.268 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:87(remove)
      4/3    0.001    0.000    0.535    0.178 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:67(__call__)
        1    0.000    0.000    0.535    0.535 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:415(_allowed_function_ids)
        1    0.001    0.001    0.534    0.534 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:176(gen_allowed_objs_and_ids)
    278/2    0.054    0.000    0.531    0.266 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:327(_find_torch_objects)
      192    0.095    0.000    0.518    0.003 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:249(spawn_food)
     7642    0.055    0.000    0.482    0.000 /home/amax/xyc/MATr/offpymarl/src/components/transforms.py:16(transform)
    36361    0.477    0.000    0.477    0.000 {method 'float' of 'torch._C.TensorBase' objects}
     1392    0.395    0.000    0.466    0.000 /home/amax/xyc/MATr/offpymarl/src/controllers/multi_task/mt_lbf_controller.py:79(init_hidden)
        2    0.004    0.002    0.464    0.232 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:146(__init__)
        2    0.000    0.000    0.461    0.230 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:49(__init__)
     8714    0.040    0.000    0.417    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:241(_is_allowed_module_prefix)
        1    0.000    0.000    0.415    0.415 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:1(<module>)
        2    0.000    0.000    0.415    0.207 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:78(<listcomp>)
        6    0.003    0.001    0.415    0.069 /home/amax/xyc/MATr/offpymarl/src/components/offline_buffer.py:101(_read_data)
        1    0.000    0.000    0.404    0.404 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/skipfiles.py:1(<module>)
       48    0.394    0.008    0.397    0.008 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/h5py/_hl/dataset.py:765(__getitem__)
    27519    0.397    0.000    0.397    0.000 {built-in method torch.ones_like}
     7450    0.370    0.000    0.370    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:111(<listcomp>)
    33961    0.366    0.000    0.366    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/decomposers/lbf_decomposer.py:74(<listcomp>)
     1200    0.328    0.000    0.363    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    10036    0.164    0.000    0.362    0.000 {built-in method builtins.any}
    40360    0.188    0.000    0.341    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/lib/arraypad.py:458(_as_pairs)
    40360    0.083    0.000    0.338    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2421(all)
     7642    0.049    0.000    0.324    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:150(get_avail_actions)
    42698    0.162    0.000    0.302    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:205(neighborhood)
        1    0.000    0.000    0.291    0.291 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/__init__.py:1(<module>)
    45468    0.277    0.000    0.288    0.000 /home/amax/xyc/MATr/offpymarl/src/components/episode_buffer.py:121(_check_safe_view)
    20180    0.093    0.000    0.271    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:157(get_avail_agent_actions)
     7642    0.031    0.000    0.262    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:71(observation)
    40371    0.107    0.000    0.251    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/functools.py:884(wrapper)
    33961    0.248    0.000    0.248    0.000 /home/amax/xyc/MATr/offpymarl/src/modules/decomposers/lbf_decomposer.py:66(<listcomp>)
   165144    0.184    0.000    0.246    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:331(_transform_to_neighborhood)
1454/1413    0.069    0.000    0.246    0.000 {built-in method builtins.__build_class__}
    20180    0.170    0.000    0.244    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/lib/arraypad.py:86(_pad_simple)
    72855    0.240    0.000    0.240    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
     1204    0.014    0.000    0.229    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/decorators.py:32(disable)
    33961    0.228    0.000    0.228    0.000 {method 'view' of 'torch._C.TensorBase' objects}
     1200    0.169    0.000    0.219    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/adam.py:80(_init_group)
     7642    0.060    0.000    0.216    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:73(<listcomp>)
     1203    0.023    0.000    0.213    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:454(_fn)
        1    0.000    0.000    0.209    0.209 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/__init__.py:1(<module>)
     7834    0.110    0.000    0.208    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/__init__.py:136(get_state)
    35353    0.203    0.000    0.203    0.000 {method 'expand' of 'torch._C.TensorBase' objects}
     8842    0.202    0.000    0.202    0.000 {method 'max' of 'torch._C.TensorBase' objects}
    35171    0.083    0.000    0.199    0.000 {built-in method builtins.all}
    30719    0.033    0.000    0.199    0.000 {method 'sum' of 'numpy.ndarray' objects}
     1204    0.024    0.000    0.199    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:406(__call__)
    53110    0.196    0.000    0.196    0.000 {method 'view_as' of 'torch._C.TensorBase' objects}
270506/254830    0.168    0.000    0.192    0.000 {built-in method builtins.getattr}
     2400    0.111    0.000    0.182    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/utils/_foreach_utils.py:42(_has_foreach_support)
      896    0.001    0.000    0.177    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/re.py:288(_compile)
    20180    0.100    0.000    0.176    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:221(adjacent_food)
       28    0.000    0.000    0.175    0.006 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/re.py:249(compile)
       28    0.000    0.000    0.175    0.006 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_compile.py:783(compile)
   364820    0.124    0.000    0.175    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/allowed_functions.py:322(<genexpr>)
    62400    0.114    0.000    0.175    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:84(_get_value)
        1    0.000    0.000    0.171    0.171 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/polyfuncs.py:1(<module>)
   108792    0.171    0.000    0.171    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.170    0.170 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/specialpolys.py:1(<module>)
       18    0.000    0.000    0.168    0.009 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/skipfiles.py:281(add)
    67922    0.120    0.000    0.168    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/nn/modules/container.py:207(__iter__)
    30719    0.019    0.000    0.165    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/_methods.py:47(_sum)
        7    0.000    0.000    0.163    0.023 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/skipfiles.py:276(_recompile_re)
    37826    0.036    0.000    0.159    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/shape_base.py:443(<listcomp>)
        1    0.000    0.000    0.159    0.159 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/polys/rings.py:1(<module>)
        1    0.000    0.000    0.155    0.155 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/sympy/printing/__init__.py:1(<module>)
        1    0.000    0.000    0.150    0.150 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/_dynamo/variables/higher_order_ops.py:1(<module>)
     7450    0.064    0.000    0.149    0.000 /home/amax/xyc/MATr/offpymarl/src/envs/lb-foraging-1.1.1/lbforaging/foraging/environment.py:489(<listcomp>)
        1    0.000    0.000    0.148    0.148 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/onnx/__init__.py:1(<module>)
     7642    0.147    0.000    0.147    0.000 {method 'scatter_' of 'torch._C.TensorBase' objects}
    45474    0.147    0.000    0.147    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
     2400    0.017    0.000    0.147    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/utils/_contextlib.py:112(decorate_context)
     1200    0.079    0.000    0.146    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/torch/optim/optimizer.py:788(zero_grad)
    20180    0.119    0.000    0.146    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/lib/arraypad.py:129(_set_pad_area)
       28    0.000    0.000    0.144    0.005 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_parse.py:944(parse)
    80/28    0.001    0.000    0.143    0.005 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_parse.py:436(_parse_sub)
   318/29    0.082    0.000    0.143    0.005 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/sre_parse.py:494(_parse)
    40360    0.058    0.000    0.142    0.000 /home/amax/Software/anaconda3/envs/xyc_env/lib/python3.10/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
